V.T.R,var,cultivar,Treatment,Repeat
37.8_16.2,37,37,8_16,2
38.8_16.2,38,38,8_16,2
39.8_16.2,39,39,8_16,2
40.8_16.2,40,40,8_16,2
41.8_16.2,41,41,8_16,2
42.8_16.2,42,42,8_16,2
43.8_16.2,43,43,8_16,2
44.8_16.2,44,44,8_16,2
45.8_16.2,45,45,8_16,2
46.8_16.2,46,46,8_16,2
47.8_16.2,47,47,8_16,2
48.8_16.2,48,48,8_16,2
49.8_16.2,49,49,8_16,2
50.8_16.2,50,50,8_16,2
