V.T.R,Plant,Treatment,Repeat,Cultivar
7.2.2,7,2,2,Altigo
18.2.1,18,2,1,Krasota
8.2.2,8,2,2,Pobeda50
24.1.2,24,1,2,Khar'kovskaya 32
17.1.2,17,1,2,Velena
30.1.1,30,1,1,Krupinka
25.3.1,25,3,1,Afina
10.3.2,10,3,2,Moskovskaya 39
14.3.1,14,3,1,Doka
10.3.1,10,3,1,Moskovskaya 39
19.3.1,19,3,1,Karavaj
35.3.1,35,3,1,Venec
4.1.2,4,1,2,Ehtnos
22.1.2,22,1,2,Azotofiksiruyushchaya
32.1.1,32,1,1,Iliya
3.2.1,3,2,1,Kavalerka
33.2.1,33,2,1,Tikhon
1.2.1,1,2,1,Vassa
11.1.2,11,1,2,Knyazhna
17.1.1,17,1,1,Velena
26.1.1,26,1,1,Rodur
17.2.2,17,2,2,Velena
1.2.2,1,2,2,Vassa
12.2.1,12,2,1,Biryuza
34.3.1,34,3,1,Khleborob
13.3.1,13,3,1,Zimtra
32.3.2,32,3,2,Iliya
29.1.1,29,1,1,Kurant
11.1.1,11,1,1,Knyazhna
29.1.2,29,1,2,Kurant
13.2.2,13,2,2,Zimtra
13.2.1,13,2,1,Zimtra
33.3.1,33,3,1,Tikhon
2.2.1,2,2,1,Yunona
26.2.1,26,2,1,Rodur
25.2.1,25,2,1,Afina
12.1.2,12,1,2,Biryuza
33.1.1,33,1,1,Tikhon
18.1.2,18,1,2,Krasota
9.1.2,9,1,2,Fisht
27.2.2,27,2,2,Kristall 2
34.2.1,34,2,1,Khleborob
34.3.2,34,3,2,Khleborob
17.3.1,17,3,1,Velena
12.3.2,12,3,2,Biryuza
26.3.1,26,3,1,Rodur
2.3.1,2,3,1,Yunona
18.3.2,18,3,2,Krasota
7.1.1,7,1,1,Altigo
26.1.2,26,1,2,Rodur
6.1.1,6,1,1,Tanya
15.3.2,15,3,2,Timiryazevskaya 150
29.3.2,29,3,2,Kurant
21.3.1,21,3,1,Bylina
5.3.1,5,3,1,Grom
11.3.2,11,3,2,Knyazhna
30.3.2,30,3,2,Krupinka
4.1.1,4,1,1,Ehtnos
15.1.1,15,1,1,Timiryazevskaya 150
20.1.2,20,1,2,Aist
22.3.1,22,3,1,Azotofiksiruyushchaya
7.3.2,7,3,2,Altigo
16.3.2,16,3,2,Pallada
7.1.2,7,1,2,Altigo
21.1.2,21,1,2,Bylina
12.1.1,12,1,1,Biryuza
34.1.2,34,1,2,Khleborob
23.1.1,23,1,1,Andromeda
3.1.2,3,1,2,Kavalerka
32.2.2,32,2,2,Iliya
30.2.2,30,2,2,Krupinka
31.2.2,31,2,2,Lazurit
24.1.1,24,1,1,Khar'kovskaya 32
19.1.2,19,1,2,Karavaj
32.1.2,32,1,2,Iliya
33.3.2,33,3,2,Tikhon
28.3.2,28,3,2,Uslada
6.3.1,6,3,1,Tanya
5.1.1,5,1,1,Grom
2.1.1,2,1,1,Yunona
3.1.1,3,1,1,Kavalerka
